title,排名,国家,州省,城市,性质,成立年份,宗教信仰,学生人数,学校分类,网址
麦克马斯特大学 ,医博类第6,加拿大,安大略省,汉密尔顿（安大略省）,公立，男女合校,1887年,无,"24,461",医博类大学,www.mcmaster.ca
法语 ,,,,,,,,,,
犹他大学 ,110*(3),美国,犹他州,盐湖城,公立，男女合校,1850年*(1),无,"31,551",全国性大学,www.utah.edu
贝勒医学院 ,,美国,德克萨斯州,休斯敦,公立，男女合校,1900*(1),无,"2,134，其中：,★Medical School 747人,★Graduate School 615人,★Allied Health 190人,★Postdocs 582人*(1)",,www.bcm.edu
印第安纳大学伯明顿分校 ,90*(2),美国,印第安纳州,伯明顿,公立，男女合校,1820*(1),无,"48,514",全国性大学,www.iub.edu
马萨诸塞大学阿默斯特分校 ,USNEWS：75*(3),美国,马萨诸塞州,阿默斯特,公立，男女合校*(4),1863,,"29,269",全国性大学,www.umass.edu
柏林自由大学 ,,德国,,柏林,公立，男女合校,1948年*(4),无,"34,518(2013年)*(4)",综合性大学，可授予博士学位,www.fu-berlin.de
京都大学 ,,,,,,,,,,
谢菲尔德大学 ,QS世界：12(69)；Times国内：18,英国*(1),英格兰,"谢菲尔德,*(1)",公立，男女合校*(1),1828年*(1),无,"26,600（含全日制与非全日制）*(2)",综合性大学*(1),
罗切斯特大学 ,USNEWS：34*(3),美国,纽约州,罗彻斯特（Rochester）,私立，男女合校*(4),1850,,"9,470",全国性大学,"www.rochester.edu, *(4)"
波恩大学 ,,德国,,波恩,公立，男女合校,1962年*(1),无,"32,500(2012年8月)*(4)",综合性大学，可授予博士学位,www.uni-bonn.de
利兹大学 ,QS世界：18(87)；Times国内：17,英国,"英格兰,*(1)","利兹,*(1)",公立，男女合校,1874年*(1),无,"30,975（含全日制与非全日制）*(2)",综合性大学,www.leeds.ac.uk
德州农工大学 ,USNEWS：69*(4),美国,德克萨斯州,卡城,公立，男女合校*(5),1876,,"63,429",全国性大学,"www.tamu.edu, *(5)"
华威大学 ,QS：10(48)；Times：8,英国,英格兰,考文垂,公立，男女合校,1965*(1),无,"25,245（含全日制与非全日制学生）",综合性大学,www.warwick.ac.uk
南安普敦大学 ,20,英国,英格兰,谢菲尔德,公立，男女合校,1862年,无,"24,135",综合性大学,www.southampton.ac.uk
伦敦大学玛丽女王学院 ,QS：20(109)；Times：34,英国*(1),"英格兰,*(1)","伦敦,*(1)",公立，男女合校*(1),1785*(1),无*(1),"15,960（含全日制与非全日制学生）*(2)",综合性大学*(1),http://www.qmul.ac.uk/*(1)
弗吉尼亚大学 ,25*(2),美国,弗吉尼亚州,夏洛特维尔,公立，男女合校,1819*(1),无,"21,985*(5)",全国性大学,www.virginia.edu
阿德雷德大学 ,ERA：7*(4),澳大利亚,南澳大利亚州,阿德雷德,公立，男女合校,1874年*(3),无,"20,779（含无学位项目学生）*(5)",五星级大学,www.adelaide.edu.au
柏林洪堡大学 ,,德国,,柏林,公立，男女合校,1810年*(5),无,"30,320(2014年)*(6)",综合性大学，可授予博士学位,www.hu-berlin.de
普渡大学西拉法叶分校 ,56*(5),美国,印第安纳州,西拉法叶,公立，男女合校,1869*(2),无,"39,409*(4)",全国性大学,www.purdue.edu
布朗大学 ,USNEWS：14*(3),美国,罗德岛州,普罗维登斯,私立，男女合校*(4),1764,,"9,458",全国性大学,"www.brown.edu,*(4)"
罗格斯大学 ,69*(2),美国,新泽西州,"新布伦瑞克,、,皮斯卡特维",公立，男女合校,1766*(2),无,"48,378",全国性大学,www.newbrunswick.rutgers.edu
慕尼黑工业大学 ,,德国,,慕尼黑,公立，男女合校,1868*(1),无,"35,979(2013年)*(5)",综合性大学，可授予博士学位,www.tum.de
伯明翰大学 ,QS世界：64(11)；Times国内：16,英国,"英格兰,*(1)","伯明翰,*(1)",公立，男女合校*(1),1825年*(1),无,"32,335（含全日制与非全日制）*(2)",综合性大学,
莱斯大学 ,14*(2),美国,德克萨斯州,休斯敦,私立，男女合校,1891*(1),无,"6,623",全国性大学,www.rice.edu
西澳大学 ,ERA：6*(5),澳大利亚,西澳大利亚州,珀斯,公立，男女合校,1911年*(1),无,"25,047*(6)",五星级大学,www.uwa.edu.au
伦敦大学 ,,,,,,,,,,www.london.ac.uk
加州大学尔湾分校 ,42*(2),美国,加利福尼亚州,尔湾,公立，男女合校,1965年*(1),无,"31,551*(3)",全国性大学,www.uci.edu
格拉斯哥大学 ,QS：12(62)；Times：26,英国,苏格兰,格拉斯哥,公立，男女合校,1451*(1),无,"27,390（含全日制与非全日制学生）",综合性大学,www.gla.ac.uk
医学 ,,,,,,,,,,
亚利桑那大学 ,124*(2),美国,亚利桑那州,图森,公立，男女合校,1885*(2),无,"43,088*(3)",全国性大学,www.arizona.edu
卡耐基梅隆大学 ,25*(3),美国,宾夕法尼亚州,匹兹堡,私立，男女合校,1900*(1),无,"13,648",全国性大学,www.cmu.edu
密歇根州立大学 ,81*(2),美国,密歇根州,东兰辛,公立，男女合校,1855*(1),无,"50,543",全国性大学,www.msu.edu
澳洲国立大学 ,ERA：3*(2),澳大利亚,首都特区,堪培拉,公立，男女合校,1946年*(3),无,"21,149*(4)",五星级大学,www.anu.edu.au
布里斯托大学 ,QS世界：7(29)；Times国内：15,英国,英格兰,布里斯托,公立，男女合校,1909年*(1),无,"20,107（含全日制与非全日制）*(3)",综合性大学,bristol.ac.uk
佐治亚理工学院 ,34*(2),美国,佐治亚州,亚特兰大,公立，男女合校,1885*(1),无,"23,109",全国性大学,www.gatech.edu
北京大学 ,,,,,,,,,,
艾茉莉大学 ,21*(2),美国,"佐治亚州, *(1)","亚特兰大, *(1)",私立，男女合校 *(3),1836 *(1),"基督教, *(1)","14,724*(4)","全国性大学, *(3)",www.emory.edu *(3)
佛罗里达大学 ,42*(2),美国,佛罗里达州,盖恩斯维尔,公立，男女合校,1853年*(1),无,"42,608*(3)",全国性大学,www.ufl.edu
南洋理工大学 ,,新加坡,,,公立，男女合校,1955年,无,"28,949",综合性大学,www.ntu.edu.sg
新南威尔士大学 ,ERA：4*(2),澳大利亚,新南威尔士州,悉尼,公立，男女合校,1949年*(4),无,"50,516*(4)",五星级大学,www.unsw.edu.au
东京大学 ,,日本,,东京,公立（国立），男女合校,1877*(1),无,"27,847(2015年)*(2)",综合性大学,http://www.u-tokyo.ac.jp/en/index.html
伊利诺伊大学厄本那-香槟分校 ,52*(2),美国,伊利诺伊州,"厄本那,-香槟",公立，男女合校,1867*(1),无,"43,603",全国性大学,www.illinois.edu
范德堡大学 ,14*(5),美国,田纳西州,纳什维尔,私立，男女合校,1873*(2),无,"12,567",全国性大学,www.vanderbilt.edu
加州大学戴维斯分校 ,46*(2),美国,加利福尼亚州,戴维斯,公立，男女合校,"1905年（1959年正式成为,加州大学系统,的一员）*(1)",无,"36,104*(3)",全国性大学,www.ucdavis.edu
莫纳什大学 ,ERA：5*(5),澳大利亚,维多利亚州,墨尔本,公立，男女合校,1958年*(4),无,"64,500（含无学位项目学生）*(7)",五星级大学,www.monash.edu.au
麦吉尔大学 ,医博类第1,加拿大,魁北克,蒙特利尔,公立，男女合校,1821年,无,"34,819",医博类大学,www.mcgill.ca
宾州州立大学公园分校 ,USNEWS：52*(4),美国,宾夕法尼亚州,大学公园,公立，男女合校*(5),1855,,"46,848",全国性大学,www.psu.edu *(5)
新加坡国立大学 ,,新加坡,,,公立，男女合校,1905年,无,"37,426",综合性大学,www.nus.edu.sg
加州大学圣克鲁兹分校 ,81*(2),美国,加利福尼亚州,圣克鲁兹,公立，男女合校,1965*(1),无,"17,868",全国性大学,www.ucsc.edu
科罗拉多大学博尔德分校 ,90*(4),美国,科罗拉多州,博尔德,公立，男女合校,1876*(2),无,"32,775",全国性大学,www.colorado.edu
匹兹堡大学 ,68*(2),美国,宾夕法尼亚州,"匹兹堡,另有本科学院设在布兰德福德、格林斯堡、约翰斯敦和泰特斯维尔",公立，男女合校,1787*(1),无,"25,464（不含Part-time），28,650（含Part-time）*(4)",全国性大学,www.pitt.edu
慕尼黑大学 ,,德国,,慕尼黑,公立，男女合校,1472年*(1),无,"48,938(2012年)*(4)",综合性大学，可授予博士学位,www.en.uni-muenchen.de
马里兰大学学院公园分校 ,61*(2),美国,马里兰州,学院公园,公立，男女合校,1856年*(1),无,"38,140",全国性大学,https://www.umd.edu/
俄亥俄州立大学 ,54*(3),美国,俄亥俄州,哥伦布,公立，男女合校,1870*(2),无,"58,663",全国性大学,www.osu.edu
昆士兰大学 ,ERA：3*(2),澳大利亚,昆士兰州,布里斯班,公立，男女合校,1909年*(3),无,"48,804*(3)",五星级大学,www.uq.edu.au
伦敦大学国王学院 ,QS世界：5(16)；Times国内：27,英国,英格兰,伦敦,公立，男女合校,"1829年（其最古老的,医学,院成立于1550年）*(1)",无,"27,645（含全日制与非全日制）*(2)",综合性大学,www.kcl.ac.u
北卡罗来纳大学教堂山分校 ,30*(2),美国,北卡罗来纳州,教堂山,公立，男女合校*(3),1789*(1),无,"29,084",全国性大学,www.unc.edu
圣路易斯华盛顿大学 ,18*(2),美国,密苏里州,圣路易斯,私立，男女合校,1853,无,"12,951（不含Part-time）",全国性大学,www.wustl.edu
波士顿大学 ,USNEWS：37*(3),美国,马萨诸塞州,波士顿,私立，男女合校*(4),1839,无,"33,119",全国性大学,"www.bu.edu,*(4)"
明尼苏达大学双城分校 ,USNEWS：69*(3),美国,明尼苏达州,"明尼阿波利斯,、,圣保罗",公立，男女合校*(4),1851,,"50,678",全国性大学,"www.umn.edu, *(4)"
悉尼大学 ,ERA：2*(2),澳大利亚,新南威尔士州,悉尼,公立，男女合校,1850年*(3),无,"51,394*(3)",五星级大学,www.sydney.edu.au
德克萨斯大学奥斯汀分校 ,56*(4),美国,德克萨斯州,奥斯汀,公立，男女合校,1883*(1),无,"47,007",全国性大学,www.utexas.edu
威斯康辛大学麦迪逊分校 ,46*(2),美国,威斯康辛州,麦迪逊,公立，男女合校,1848*(1),无,"43,389*(3)",全国性大学,www.wisc.edu
爱丁堡大学 ,QS：6(17)；Times：22,英国,苏格兰,爱丁堡,公立，男女合校,1582*(1),无,"27,625（含全日制与非全日制学生）",综合性大学,www.ed.ac.uk
