title,排名,国家,州省,城市,性质,成立年份,宗教信仰,学生人数,学校分类,网址
华南师范大学 ,,,,,,,,,,
布鲁克大学 ,15,加拿大,安大略省,"圣,凯瑟琳",公立，男女合校,1964年,无,"15,467",综合类大学,www.brocku.ca
健康科学 ,,,,,,,,,,
格林威治大学 ,101,英国,英格兰,伦敦,公立，男女合校,1890年,无,"26,445",综合性大学,www.gre.ac.uk
北达科他大学 ,192*(2),美国,北达科他州,大福克斯,公立，男女合校,1883*(1),无,,全国性大学,www.und.edu
牛津布鲁克斯大学 ,50,英国,英格兰,牛津,公立，男女合校,1865年,无,"18,425",综合性大学,www.brookes.ac.uk
福坦莫大学 ,61*(2),美国,纽约州,纽约市,私立，男女合校,1841*(1),天主教,"15,286",全国性大学,www.fordham.edu
佛罗里达大西洋大学 ,RNP,美国,佛罗里达州,博卡拉顿,公立，男女合校,1961,无,"30,377",综合性大学,www.fau.edu
北卡罗来纳大学格林波若分校 ,RNP,美国,北卡罗来纳州,格林波若,公立，男女合校,1891,无,"19,393",综合性大学,www.uncg.edu
德克萨斯大学埃尔帕索分校 ,RNP,美国,德克萨斯,埃尔帕索,公立，男女合校,1913,无,-,综合性大学,www.utep.edu
东北师范大学 ,,,,,,,,,,
生物医学 ,,,,,,,,,,
中央兰开夏大学 ,88,英国,英格兰,普雷斯顿,公立，男女合校,1828年,无,"31,530",综合性大学,www.uclan.ac.uk
北达科他州立大学 ,198,美国,北达科他州,法戈,公立，男女合校,1890,无,"14,516",综合性大学,www.ndsu.edu
西安电子科技大学 ,,,,,,,,,,
卡塞尔大学 ,,德国,,卡塞尔,公立，男女合校,1970年*(1),无,"22,877(2014年) *(4)",综合性大学，可授予博士学位,www.uni-kassel.de
北京林业大学 ,,,,,,,,,,
开姆尼茨工业大学 ,,德国,,开姆尼茨,公立，男女合校,1836年*(1),无,"11,231(2013年)*(4)",综合性大学，可授予博士学位,www.tu-chemnitz.de
曼彻斯特都会大学 ,89,英国,英格兰,曼彻斯特,公立，男女合校,1970年,无,"34,430",综合性大学,www.mmu.ac.uk
河海大学 ,,,,,,,,,,
纽约市立大学亨特学院 ,28*(3),美国,纽约州,纽约市,公立，男女合校,1870*(2),无,"22,920","北部,地方性大学",www.hunter.cuny.edu
武汉理工大学 ,,,,,,,,,,
密苏里大学圣路易斯分校 ,RNP,美国,密苏里州,圣路易斯,公立，男女合校,1963,无,"16,763",综合性大学,www.umsl.edu
美利坚大学 ,69*(3),美国,"哥伦比亚,特区",华盛顿,私立，男女合校,1893 *(1),基督,"13,200",全国性大学,www.american.edu
南伊利诺伊大学卡本代尔分校 ,216,美国,伊利诺伊州,卡本代尔,公立，男女合校,1869,无,"17,292",综合性大学,www.siuc.edu
